id,title,description,type,body part
31,KV Dumbbell Lunges,KV Dumbbell Lunges exercise.,dumbbell,legs
32,King Maker Leg Press,The leg press is a machine exercise targeting the quadriceps. It’s favorite a...,machine/other,legs
33,King Maker Barbell Back Squat,The barbell back squat is a popular compound movement that emphasizes buildin...,barbell,legs
34,King Maker Barbell Deadlift,The barbell deadlift is a compound exercise used to develop overall strength...,barbell,legs
35,King Maker Weighted Jump Squat,"The dumbbell jump squat takes a classic bodybuilding move, the squat, and add...",weighted bodyweight,legs
36,Leg Press - Gethin Variation,The leg press is a machine exercise targeting the quadriceps. It’s favorite a...,machine/other,legs
37,Leg Press,The leg press is a machine exercise targeting the quadriceps. It’s favorite a...,machine/other,legs
38,Jefferson Squats,Jefferson Squats exercise.,barbell,legs
39,3D dumbbell lunge,The 3D dumbbell lunge is a sequence of lower-body exercises that target the m...,dumbbell,legs
40,Hack Squat,The hack squat is a machine-based exercise that targets the muscles of the le...,barbell,legs
41,Front-To-Back Barbell Squat,Front-To-Back Barbell Squat exercise.,barbell,legs
42,Dumbbell Fix Dumbbell Split Squat,Dumbbell Fix Dumbbell Split Squat exercise.,dumbbell,legs
43,Dumbbell Goblet Squat,The goblet squat is a common exercise used in the early stages of learning to...,dumbbell,legs
44,Dumbbell Lunges,The dumbbell split squat is a popular lower-body exercise to build strength a...,dumbbell,legs
45,Dumbbell Lying Hamstring Curl,Dumbbell Lying Hamstring Curl exercise.,dumbbell,legs
46,Dumbbell Pistol Squat,Dumbbell Pistol Squat exercise.,dumbbell,legs
47,Dumbbell Side Lunge,Dumbbell Side Lunge exercise.,dumbbell,legs
48,Dumbbell Squat To A Bench,Dumbbell Squat To A Bench exercise.,dumbbell,legs
49,Dumbbell Walking Lunge,The dumbbell walking lunge tests your ability to maintain balance while chall...,dumbbell,legs
50,Dumbbell deadlift,"The dumbbell deadlift is a movement that targets the hamstrings, glutes, and...",dumbbell,legs
51,Dumbbell front squat,The dumbbell front squat is a popular exercise for targeting the muscles of t...,dumbbell,legs
52,Dumbbell jump squat with rotation,The dumbbell jump squat with rotation is a popular movement combining an expl...,dumbbell,legs
53,Dumbbell racked reverse lunge,The dumbbell racked reverse lunge is a popular lower-body movement that targe...,dumbbell,legs
54,Dumbbell reverse lunge,The dumbbell reverse lunge is a popular lower-body movement that targets the...,dumbbell,legs
55,Dumbbell split squat,The dumbbell split squat is a popular lower-body exercise to build strength a...,dumbbell,legs
56,Dumbbell squat,The dumbbell squat is a classic lower-body exercise that targets the quadrice...,dumbbell,legs
57,Dumbbell step-down reverse lunge,The dumbbell step-down reverse lunge is an exercise targeting the lower body...,dumbbell,legs
58,Narrow-stance hack squat,The narrow-stance hack squat is a machine-based exercise that targets the mus...,machine/other,legs
59,Front Barbell Squat To A Bench,Front Barbell Squat To A Bench exercise.,barbell,legs
60,Front Squat (Bodybuilder),The barbell front squat is a compound movement that emphasizes building the l...,barbell,legs
61,Dumbbell sumo squat,The dumbbell sumo squat is a popular lower-body movement using a single dumbb...,dumbbell,legs
62,Romanian Deadlift,"The barbell stiff-legged deadlift targets the hamstrings, glutes, lower and u...",barbell,legs
63,Paul Carter Back Squat,The barbell back squat is a popular compound movement that emphasizes buildin...,barbell,legs
64,Smith machine leg press,The Smith machine leg press is a machine-based movement that targets the quad...,machine/other,legs
65,Split Squat with Dumbbells,The dumbbell Bulgaria split squat is a single-leg exercise targeting the quad...,dumbbell,legs
66,Squat - Gethin Variation,The barbell back squat is a popular compound movement that emphasizes buildin...,barbell,legs
67,Standing Calf Raises,The standing calf raise is a popular movement to target the calf muscles of t...,machine/other,legs
68,Stiff-Legged Deadlift,"The barbell stiff-legged deadlift targets the hamstrings, glutes, lower and u...",barbell,legs
69,Stiff-Legged Dumbbell Deadlift,"The dumbbell stiff-legged deadlift targets the hamstrings, glutes, low and up...",dumbbell,legs
70,TBS Barbell Front Squat,The barbell front squat is a compound movement that emphasizes building the l...,barbell,legs
71,TBS High-Bar Back Squat,The barbell back squat is a popular compound movement that emphasizes buildin...,barbell,legs
72,Total Fitness Dumbbell Reverse Lunge,The dumbbell reverse lunge is a great single-leg movement that strengthens an...,dumbbell,legs
73,UN Barbell Back Squat,UN Barbell Back Squat exercise.,barbell,legs
74,UN Barbell Box Squat,UN Barbell Box Squat exercise.,barbell,legs
75,UN Barbell Front Squat,UN Barbell Front Squat exercise.,barbell,legs
76,UN Rear Foot Elevated Split Squat,UN Rear Foot Elevated Split Squat exercise.,barbell,legs
77,UNS Dumbbell Goblet Squat,UNS Dumbbell Goblet Squat exercise.,dumbbell,legs
78,UP Leg Press,The leg press is a machine exercise targeting the quadriceps. It’s favorite a...,machine/other,legs
79,UP Single-Leg Press,The single-leg leg press is an exercise targeting the quadriceps one leg at a...,machine/other,legs
80,UP Squat,The barbell back squat is a popular compound movement that emphasizes buildin...,barbell,legs
81,Weighted Jump Squat,Weighted Jump Squat exercise.,weighted bodyweight,legs
82,Smith machine lunge squat,"The Smith machine lunge squat is an exercise targeting the quads, glutes, and...",machine/other,legs
83,Smith machine box squat,The Smith machine box squat is a machine-based exercise targeting the quads...,machine/other,legs
84,Paul Carter Barbell Split Squat,"The barbell Bulgarian split squat is a single-leg, full-body exercise targeti...",barbell,legs
85,Smith Machine Reverse Calf Raises,Smith Machine Reverse Calf Raises exercise.,machine/other,legs
86,Rack Deadlift - Gethin Variation,The rack pull is a variation of the deadlift performed from an elevated heigh...,barbell,legs
87,Donkey Calf Raise - Gethin Variation,The donkey calk raise is a strength and muscle-building exercise focused on t...,machine/other,legs
88,Romanian Deadlift With Dumbbells,"The dumbbell stiff-legged deadlift targets the hamstrings, glutes, low and up...",dumbbell,legs
89,Seated Calf Raise,The machine seated calf raise is an exercise targeting the calf muscles of th...,machine/other,legs
90,Barbell Deadlift Bent Row Complex,The barbell deadlift bent-over row complex combines two movements to target t...,barbell,back
91,Barbell deadlift bent-over row complex,The barbell deadlift bent-over row complex combines two movements to target t...,barbell,back
92,Single-leg stiff-legged deadlift to row,The single-leg stiff-legged deadlift to row takes two popular strength moves...,dumbbell,back
93,Deadlift with Bands,Deadlift with Bands exercise.,barbell,back
94,Barbell deficit deadlift,The barbell deficit deadlift is a compound exercise targeting the posterior c...,barbell,back
95,Deadlift with Chains,Deadlift with Chains exercise.,barbell,back
96,Reverse Band Deadlift,Reverse Band Deadlift exercise.,barbell,back
97,Reverse Barbell Row,Reverse Barbell Row exercise.,barbell,back
98,Plate Row,Plate Row exercise.,barbell,back
99,UN Bent-Over Dumbbell Row,UN Bent-Over Dumbbell Row exercise.,dumbbell,back
100,Total Fitness Dumbbell Isometric Row Hold,The dumbbell bent-over row is a popular exercise to develop and strengthen th...,duration,back
101,Paul Carter Romanian Deadlift,"The barbell stiff-legged deadlift targets the hamstrings, glutes, lower and u...",barbell,back
102,Reverse-grip bent-over row,The reverse-grip bent-over row is a compound exercise used to build strength...,barbell,back
103,Incline Dumbbell Row - Gethin Variation,The incline dumbbell row is an upper body isolation exercise targeting the lo...,dumbbell,back
104,Bent-Over Dumbbell Row - Gethin Variation,The dumbbell bent-over row is a popular exercise to develop and strengthen th...,dumbbell,back
105,Bent-Over Barbell Row - Gethin Variation,The barbell bent-over row is a compound exercise used to build strength and s...,barbell,back
106,Bent Over Two-Dumbbell Row With Palms In,Bent Over Two-Dumbbell Row With Palms In exercise.,dumbbell,back
107,Pendlay Row,"The Pendlay row, named after the well-known strength coach Glenn Pendlay, is...",barbell,back
108,One-Arm Long Bar Row,The single-arm landmine bent-over row is a barbell exercise focused on the mu...,barbell,back
109,UN Chest Supported Row,UN Chest Supported Row exercise.,dumbbell,back
110,Single-Arm Landmine Row,Single-Arm Landmine Row exercise.,barbell,back
111,Deadlift - Gethin Variation,The barbell deadlift is a compound exercise used to develop overall strength...,barbell,back
112,One-Arm Dumbbell Row,The single-arm bench dumbbell row is a popular exercise for building the lati...,dumbbell,back
113,Dumbbell Fix Bent-Over Dumbbell Row,Dumbbell Fix Bent-Over Dumbbell Row exercise.,dumbbell,back
114,Dumbbell Fix Dumbbell Deadlift,Dumbbell Fix Dumbbell Deadlift exercise.,dumbbell,back
115,Dumbbell Fix Single-Arm Dumbbell Row,Dumbbell Fix Single-Arm Dumbbell Row exercise.,dumbbell,back
116,Dumbbell Seal Row - Gethin Variation,The dumbbell seal row is a weighted exercise targeting the muscles of the mid...,dumbbell,back
117,Dumbbell bent-over row,The dumbbell bent-over row is a popular exercise to develop and strengthen th...,dumbbell,back
118,Dumbbell kickstand deadlift,The dumbbell kickstand deadlift is a movement targeting the muscles of the ha...,dumbbell,back
119,UNS Dumbbell Romanian Deadlift,UNS Dumbbell Romanian Deadlift exercise.,dumbbell,back
120,Dumbbell renegade row,The dumbbell renegade row combines rowing and core training into a single dif...,dumbbell,back
121,Dumbbell seal row,The dumbbell seal row is a weighted exercise targeting the muscles of the mid...,dumbbell,back
122,Dumbbell stiff-legged deadlift,The dumbbell stiff-legged deadlift is a dumbbell exercise that targets the ha...,dumbbell,back
123,UP Conventional Deadlift,The barbell deadlift is a compound exercise used to develop overall strength...,barbell,back
124,Bent Over Barbell Row,The barbell bent-over row is a compound exercise used to build strength and s...,barbell,back
125,Incline dumbbell row,The incline dumbbell row is an upper-body exercise targeting the lats (latiss...,dumbbell,back
126,AM Single Arm Row,The single-arm bench dumbbell row is a popular exercise for building the lati...,dumbbell,back
127,Single-arm dumbbell row,The single-arm dumbbell row is a popular exercise for building the latissimus...,dumbbell,back
128,Yates Row Reverse Grip,Yates Row Reverse Grip exercise.,barbell,back
129,Straight Bar Bench Mid Rows,Straight Bar Bench Mid Rows exercise.,barbell,back
130,Band Resisted Dumbbell Row,Band Resisted Dumbbell Row exercise.,dumbbell,back
131,TBS Bent-Over Dumbbell Row,The dumbbell bent-over row is a popular exercise to develop and strengthen th...,dumbbell,back
132,TBS T-Bar Row,TBS T-Bar Row exercise.,barbell,back
133,TBS Deficit Deadlift,The barbell deficit deadlift is a compound exercise targeting the posterior c...,barbell,back
134,TBS Dumbbell Romanian Deadlift,"The dumbbell stiff-legged deadlift targets the hamstrings, glutes, low and up...",dumbbell,back
135,Standing dumbbell upright row,The standing dumbbell upright row is a popular movement for building stronger...,dumbbell,back
136,Single-arm inverted row,The single-arm inverted row is a bodyweight exercise targeting the muscles of...,barbell,back
137,Single-arm bench dumbbell row,The single-arm bench dumbbell row is a popular exercise for building the lati...,dumbbell,back
138,Barbell bent-over row,The barbell bent-over row is a compound exercise used to build strength and s...,barbell,back
139,TBS Romanian Deadlift,"The barbell stiff-legged deadlift targets the hamstrings, glutes, lower and u...",barbell,back
140,Barbell deadlift-,The barbell deadlift is a compound exercise used to develop overall strength...,barbell,back
141,Single-arm barbell bent-over row,The single-arm barbell bent-over row is a barbell exercise focused on the mus...,barbell,back
142,Barbell pull-over to press,The barbell pull-over to press is a complex that combines two popular exercis...,barbell,back
143,Barbell seal row,The barbell seal row is a weighted exercise targeting the muscles of the midd...,barbell,back
144,Yates Row,Yates Row exercise.,barbell,back
145,TBS Pull-Up,TBS Pull-Up exercise.,reps only,back
146,AM Pull-Up,The pull-up is a multi-joint bodyweight exercise that builds strength and mus...,reps only,back
147,Neutral-grip pull-up,The neutral-grip pull-up is a multijoint bodyweight exercise in which the rep...,reps only,back
148,Wide-Grip Rear Pull-Up,Wide-Grip Rear Pull-Up exercise.,reps only,back
149,UP Chin-Up,UP Chin-Up exercise.,reps only,back
150,Negative pull-up,The negative pull-up is a multijoint bodyweight exercise that focuses on just...,reps only,back
151,Pull-up,The pull-up is a multijoint bodyweight exercise that builds strength and musc...,reps only,back
152,King Maker Pull-Up,The pull-up is a multi-joint bodyweight exercise that builds strength and mus...,reps only,back
153,Jump to pull-up,The jump to pull-up is a bodyweight exercise that targets the muscles of the...,reps only,back
154,Chin-Up,The a chin-up is a variation of the pull-up exercise in which the reps are pe...,reps only,back
155,Rack Pull with Bands,Rack Pull with Bands exercise.,barbell,back
156,Rack pull,The rack pull is a variation of the deadlift performed from an elevated heigh...,barbell,back
157,Seated Good Mornings,Seated Good Mornings exercise.,barbell,back
158,Machine-assisted pull-up,The machine-assisted pull-up takes a classic back-building exercise and adds...,assisted bodyweight,back
159,Machine seated row,"The machine seated row is a popular exercise targeting the back muscles, part...",machine/other,back
160,Man-maker,"The man-maker is a sequence of exercises combining a dumbbell front squat, mi...",dumbbell,back
161,Machine low row-,"The machine low row is a popular exercise targeting the back muscles, particu...",machine/other,back
162,Middle Back Shrug,Middle Back Shrug exercise.,dumbbell,back
163,Leverage High Row,The machine high row is an exercise targeting the lats and works the back ove...,machine/other,back
164,UN Barbell Rack Pull,UN Barbell Rack Pull exercise.,barbell,back
165,TBS Good Morning,"The barbell good morning is an exercise that targets glute, hamstring, and lo...",barbell,back
166,Stiff Leg Barbell Good Morning,Stiff Leg Barbell Good Morning exercise.,barbell,back
167,Seated Machine Row - Gethin Variation,"The machine seated row is an exercise targeting the back muscles, emphasizing...",machine/other,back
168,Standing dumbbell shrug,The standing dumbbell shrug is a popular movement to build and strengthen the...,dumbbell,back
169,PJR pull-over-,"The PJR pull-over is a triceps-focused version of the pull-over exercise, usu...",dumbbell,back
170,UN Dumbbell RDL,UN Dumbbell RDL exercise.,dumbbell,back
171,Standing Dumbbell Shrug - Gethin Variation,The standing dumbbell shrug is a popular movement to build and strengthen the...,dumbbell,back
172,Smith machine upright row,The Smith machine upright row is an upper-body exercise targeting the muscles...,machine/other,back
173,Smith machine bent-over row,The Smith machine bent-over row is an upper-body exercise targeting the muscl...,machine/other,back
174,Single-arm machine high row,The single-arm machine high row is a machine-based exercise targeting the bac...,machine/other,back
175,Board bench press,The board bench press is an upper-body exercise that is commonly performed as...,barbell,chest
176,King Maker Incline Barbell Bench Press,The incline bench press is an upper body compound movement that targets the u...,barbell,chest
177,Bench press,The bench press is a popular barbell exercise that builds strength and muscle...,barbell,chest
178,Close-grip dumbbell bench press,The close-grip dumbbell bench press is a popular variation of the dumbbell be...,dumbbell,chest
179,Single-arm decline dumbbell bench press,The single-arm decline dumbbell bench press is an upper-body exercise targeti...,dumbbell,chest
180,Reverse-grip incline dumbbell bench press,The reverse-grip incline dumbbell bench press is an upper-body exercise targe...,dumbbell,chest
181,Decline barbell bench press,The decline barbell bench press is a popular upper-body exercise targeting th...,barbell,chest
182,Smith machine bench press throw,The Smith machine bench press throw is an exercise that helps develop pushing...,machine/other,chest
183,Decline dumbbell bench press,The decline dumbbell bench press is a popular upper-body exercise targeting t...,dumbbell,chest
184,Dumbbell Bench Press,The dumbbell bench press is a mainstay of workout enthusiasts worldwide. It’s...,dumbbell,chest
185,TBS Close-Grip Bench Press,The close-grip bench pressis a compound exercise targeting the triceps and ch...,barbell,chest
186,Dumbbell bench press-,The dumbbell bench press is a mainstay of lifters worldwide. It's a classic m...,dumbbell,chest
187,Dumbbell push-up row,"The dumbbell push-up row combines pressing, rowing, and core stabilization in...",dumbbell,chest
188,Paul Carter Incline Bench Press,The incline bench press is an upper body compound movement that targets the u...,barbell,chest
189,Neutral-grip dumbbell bench press,The neutral-grip dumbbell bench press is a variation on a classic chest-build...,dumbbell,chest
190,Close-grip bench press,The close-grip bench press is a popular exercise targeting the triceps and ch...,barbell,chest
191,Single-arm incline dumbbell bench press,The single-arm incline dumbbell bench press is an upper-body exercise targeti...,dumbbell,chest
192,Incline dumbbell bench press,The incline dumbbell bench press is a popular upper-body exercise targeting t...,dumbbell,chest
193,UP Bench Press,The bench press is a compound exercise that builds strength and muscle in the...,barbell,chest
194,Barbell Incline Bench Press Medium-Grip,The incline bench press is an upper body compound movement that targets the u...,barbell,chest
195,Barbell Guillotine Bench Press,Barbell Guillotine Bench Press exercise.,barbell,chest
196,Wide-grip bench press,"The wide-grip bench press is a compound exercise targeting the chest and, to...",barbell,chest
197,Barbell Bench Press-Wide Grip,"The wide-grip bench pressis a compound exercise targeting the chest, primaril...",barbell,chest
198,Barbell Bench Press - Medium Grip,The bench press is a compound exercise that builds strength and muscle in the...,barbell,chest
199,UP Close-Grip Bench Press,The close-grip bench pressis a compound exercise targeting the triceps and ch...,barbell,chest
200,Hammer Grip Incline DB Bench Press,Hammer Grip Incline DB Bench Press exercise.,dumbbell,chest
201,Wide-Grip Decline Barbell Bench Press,Wide-Grip Decline Barbell Bench Press exercise.,barbell,chest
202,King Maker Barbell Bench Press,The bench press is a compound exercise that builds strength and muscle in the...,barbell,chest
203,AM Dumbbell Bench Press,The dumbbell bench press is a mainstay of workout enthusiasts worldwide. It’s...,dumbbell,chest
204,Incline bench press,The incline bench press is a popular barbell exercise targeting the chest mus...,barbell,chest
205,Wide push-up plank hold,The wide push-up plank hold is a full-body exercise targeting the core. Becau...,duration,chest
206,Front Raise And Pullover,Front Raise And Pullover exercise.,barbell,chest
207,Decline Dumbbell Press - Gethin Variation,The decline dumbbell bench press is an upper body isolation exercise targetin...,dumbbell,chest
208,Dumbbell Fix Traveling Push-Up,Dumbbell Fix Traveling Push-Up exercise.,dumbbell,chest
209,Decline dumbbell fly and press,The decline dumbbell fly and press is a dumbbell complex that targets the che...,dumbbell,chest
210,Incline dumbbell fly and press,The incline dumbbell fly and press is a dumbbell complex that targets the che...,dumbbell,chest
211,Dumbbell Chest Press - Gethin Variation,The dumbbell bench press is a mainstay of workout enthusiasts worldwide. It’s...,dumbbell,chest
212,King Maker Standing Dumbbell Shoulder Press,The standing dumbbell shoulder press is a classic deltoid-builder (especially...,dumbbell,chest
213,Dumbbell Floor Press - Gethin Variation,The dumbbell floor press limits the range of motion you would achieve with a...,dumbbell,chest
214,Neck Press,Neck Press exercise.,barbell,chest
215,Machine bench press,The machine bench press is a machine-based exercise targeting the chest and u...,machine/other,chest
216,Single-arm dumbbell floor press,The single-arm dumbbell floor press is a multijoint pressing exercise perform...,dumbbell,chest
217,Incline Dumbbell Press - Gethin Variation,The incline dumbbell bench press is an upper body exercise targeting the uppe...,dumbbell,chest
218,Smith machine bench press,The Smith machine bench press is a machine-based movement targeting the chest...,machine/other,chest
219,AM Flat Bench Barbell Press,The bench press is a compound exercise that builds strength and muscle in the...,barbell,chest
220,UP Incline Dumbbell Press,The incline dumbbell bench press is an upper body exercise targeting the uppe...,dumbbell,chest
221,Total Fitness Weighted Push-Up,The plate-weighted push-up is a simple way to make a classic bodyweight exerc...,weighted bodyweight,chest
222,Single-arm kettlebell row,The single-arm kettlebell row is a popular muscle- and strength-building exer...,dumbbell,chest
223,Spoto press,The Spoto press is a variation of the popular barbell exercise the bench pres...,barbell,chest
224,Smith machine incline bench press-,The Smith machine incline bench press is a machine-based movement targeting t...,machine/other,chest
225,Smith machine decline bench press,The Smith machine decline bench press is a machine-based exercise targeting t...,machine/other,chest
226,TBS Dumbbell Incline Press,The incline dumbbell bench press is an upper body exercise targeting the uppe...,dumbbell,chest
227,Smith Machine Incline Bench Press,The Smith machine incline bench press is a machine-based movement targeting t...,machine/other,chest
228,Single-dumbbell push-up,The single-dumbbell push-up is a more difficult push-up variation where you b...,dumbbell,chest
229,Smith Machine Close-Grip Bench Press,The Smith machine close-grip bench press is a machine-based movement targetin...,machine/other,chest
230,Chin-up crunch,The chin-up crunch is an exercise targeting the core and overall upper-body s...,reps only,core
231,Side plank hip dip,The side plank hip dip is a dynamic version of the side plank exercise focusi...,duration,core
232,Hanging leg raise with throw down,The hanging leg raise with throw down is a more advanced version of the hangi...,reps only,core
233,Side plank lateral raise,The side plank lateral raise is an exercise that combines an isometric side p...,duration,core
234,Push-up to side plank,The push-up to side plank is an upper-body and core-focused exercise combinin...,duration,core
235,Plank Push-Up,The plank up-down is a variation of the plank push-up that ends in an elbow p...,duration,core
236,Plank leg raise,The plank leg raise is an isometric abdominal exercise that targets the muscl...,duration,core
237,Dumbbell Fix Alternating Renegade Row,Dumbbell Fix Alternating Renegade Row exercise.,dumbbell,core
238,Dumbbell crunch,The dumbbell crunch is a more difficult version of a highly popular abdominal...,dumbbell,core
239,Standing dumbbell knee crunch-,The standing dumbbell knee crunch is a great way to train the abs while stand...,dumbbell,core
240,Dumbbell Fix Dumbbell Front Squat,Dumbbell Fix Dumbbell Front Squat exercise.,dumbbell,core
241,Single-arm dumbbell crunch,The single-arm dumbbell crunch is a more difficult version of a highly popula...,dumbbell,core
242,Dumbbell hollow-body floor press,The dumbbell hollow-body floor press combines upper-body strength and core wo...,dumbbell,core
243,Dumbbell Crunch - Gethin Variation,The dumbbell crunch is a more difficult version of a highly popular abdominal...,dumbbell,core
244,Dumbbell straight-legged hip raise,The dumbbell straight-legged hip raise works the hips and glutes. It requires...,dumbbell,core
245,Single-arm landmine pull and press,The single-arm landmine pull and press is an explosive rotational movement us...,barbell,core
246,Decline bar press sit-up,The decline bar press sit-up is a weighted core exercise targeting the abdomi...,barbell,core
247,Decline Crunch,The decline crunch is an effective core exercise targeting the rectus abdominis.,reps only,core
248,Crunches,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six...",reps only,core
249,Side plank pulse,The side plank pulse is a dynamic version of the side plank exercise focusing...,duration,core
250,Crunch - Hands Overhead,Crunch - Hands Overhead exercise.,reps only,core
251,Crunch - Gethin Variation,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six...",reps only,core
252,Hand shift plank,The hand shift plank is a progression of the straight-arm plank exercise wher...,duration,core
253,Cross-body plank march,The cross-body plank march is an exercise targeting the entire core but espec...,duration,core
254,Cross-Body Crunch - Gethin Variation,"The cross-body sit-up is a bodyweight exercise targeting the ab muscles, the...",reps only,core
255,Cross-Body Crunch,"The elbow-to-knee crunch is a bodyweight exercise targeting the ab muscles, t...",reps only,core
256,Feet-elevated oblique crunch,The feet-elevated oblique crunch is a variation on the crunch exercise that t...,reps only,core
257,Parallel bars leg raise,The parallel bars leg raise is a bodyweight exercise that targets the abs. It...,reps only,core
258,Hanging Leg Raise - Variation Gethin,The hanging leg raise is an exercise targeting the abs and hip flexors. Inste...,reps only,core
259,Copenhagen plank,The Copenhagen plank is an advanced version of the side plank performed with...,duration,core
260,Single-leg curl up,The single-leg curl up is a bodyweight abdominal movement that teaches and re...,reps only,core
261,Decline crunch-,The decline crunch is a popular bodyweight exercise targeting the rectus abdo...,reps only,core
262,Knees tucked crunch,The knees tucked crunch is a core exercise that involves performing a crunch...,reps only,core
263,Side plank,The side plank is a popular isometric abdominal exercise focusing on the obli...,duration,core
264,Plank Walk,Plank Walk exercise.,duration,core
265,Feet-elevated bench side plank,The feet-elevated bench side plank is an advanced version of the side plank p...,duration,core
266,Plank up-down,The plank up-down is a variation of the plank push-up that ends in an elbow p...,duration,core
267,Plank walk-out,The plank walk-out is an advanced plank variation targeting the core and shou...,duration,core
268,Prison Push-Up,Prison Push-Up exercise.,reps only,core
269,Push-Up Roll Out - Gethin Variation,Push-Up Roll Out - Gethin Variation exercise.,reps only,core
270,Reach crunch,The reach crunch is a bodyweight core exercise that involves keeping the arms...,reps only,core
271,Reverse crunch,"The reverse crunch is a popular exercise targeting the abdominals, particular...",reps only,core
272,Flat Bench Lying Leg Raise,The lying leg lift is a popular bodyweight exercise targeting the muscles of...,reps only,core
273,Flat Bench Lying Leg Raise - Gethin Variation,The lying leg lift is a popular bodyweight exercise targeting the muscles of...,reps only,core
274,Plank To Sphinx,Plank To Sphinx exercise.,duration,core
275,Side lunge cross-body heel-touch,The side lunge cross-body heel-touch is a lower-body exercise targeting the q...,reps only,core
276,Elbow-to-knee crunch,"The elbow-to-knee crunch is a bodyweight exercise targeting the ab muscles, t...",reps only,core
277,Elbow plank jack,The elbow plank jack is an isometric abdominal exercise with a dynamic lower-...,duration,core
278,Elbow plank,The elbow plank is a popular isometric abdominal exercise. It is common in al...,duration,core
279,Eiffel Tower leg raise,The Eiffel Tower leg raise is a bodyweight exercise targeting the muscles of...,reps only,core
280,Double crunch,The double crunch is a bodyweight exercise focused on the muscles of the core...,reps only,core
281,Plank Fire Hydrants,Plank Fire Hydrants exercise.,duration,core
282,Cocoon crunch,"The cocoon crunch is a bodyweight exercise targeting the ab muscles, the rect...",reps only,core
283,Pillar-To-Plank,Pillar-To-Plank exercise.,duration,core
284,Gorilla Chin/Crunch,Gorilla Chin/Crunch exercise.,reps only,core
285,Plank - Gethin Variation,The elbow plank is a popular isometric abdominal exercise. It is common in al...,duration,core
286,Cross Crunch,Cross Crunch exercise.,reps only,core
287,Hanging Leg Raises,Hanging Leg Raises exercise.,reps only,core
288,Alternating hanging knee raise,"The alternating hanging knee raise is an exercise targeting the abs, but whic...",reps only,core
289,Total Fitness Side Plank,The side plank is a popular isometric abdominal exercise focusing on the obli...,duration,core
290,McGill Pull-Up,McGill Pull-Up exercise.,reps only,core
291,McGill Modified Curl-Up,McGill Modified Curl-Up exercise.,reps only,core
292,Hanging Oblique Knee Raise,The hanging oblique crunch an abdominal exercise that targets both the rectus...,reps only,core
293,Alternating lying leg raise,The alternating lying leg lift is a popular bodyweight exercise targeting the...,reps only,core
294,Jump Lunge,The alternating lunge jump is an explosive bodyweight exercise that targets t...,reps only,core
295,Alternating High Knee Raise,Alternating High Knee Raise exercise.,reps only,core
